,index,Date,Security,Decision
0,0,2020-02-07,BBG000B9XRY4,BUY
0,0,2020-02-07,BBG000BH4R78,BUY
0,0,2020-02-07,BBG000BJ81C1,SELL
0,0,2020-02-07,BBG000BPH459,BUY
0,0,2020-02-07,BBG000C6CFJ5,BUY
0,0,2020-02-07,BBG000C5HS04,BUY
0,0,2020-02-07,BBG000C3J3C9,BUY
0,0,2020-02-07,BBG000BKZB36,BUY
0,0,2020-02-07,BBG000BLNNH6,HOLD
0,0,2020-02-07,BBG000C0G1D1,HOLD
0,0,2020-02-07,BBG000BWXBC2,BUY
0,0,2020-02-07,BBG000BWLMJ4,SELL
0,0,2020-02-07,BBG000BW8S60,BUY
0,0,2020-02-07,BBG000BVPV84,BUY
0,0,2020-02-07,BBG000BMHYD1,BUY
0,0,2020-02-07,BBG000BMX289,BUY
0,0,2020-02-07,BBG000BN2DC2,BUY
0,0,2020-02-07,BBG000BNSZP1,BUY
0,0,2020-02-07,BBG000BP52R2,SELL
0,0,2020-02-07,BBG000BSXQV7,BUY
0,0,2020-02-07,BBG000BR2TH3,BUY
0,0,2020-02-07,BBG000BR2B91,BUY
0,0,2020-02-07,BBG000CH5208,BUY
0,0,2020-02-07,BBG000DMBXR2,HOLD
0,0,2020-02-07,BBG000BPD168,BUY
0,0,2020-02-07,BBG000GZQ728,SELL
0,0,2020-02-07,BBG000BCQZS4,BUY
0,0,2020-02-07,BBG000HS77T5,HOLD
0,0,2020-02-07,BBG000BCSST7,HOLD
0,0,2020-02-07,BBG000K4ND22,BUY
0,0,2020-02-07,BBG00BN96922,BUY
0,0,2020-02-07,BBG000PSKYX7,BUY
0,0,2020-02-07,BBG000BBS2Y0,BUY
0,0,2020-02-07,BBG000BF0K17,BUY
0,0,2020-02-07,BBG000H556T9,BUY
0,0,2020-02-07,BBG000BBJQV0,BUY
1,1,2020-02-26,BBG000BP52R2,HOLD
1,1,2020-03-02,BBG000DMBXR2,BUY
1,1,2020-03-16,BBG000HS77T5,BUY
1,1,2020-03-23,BBG000BCSST7,BUY
1,1,2020-03-26,BBG000C0G1D1,BUY
2,2,2020-03-30,BBG000BP52R2,SELL
1,1,2020-04-13,BBG000BJ81C1,HOLD
2,2,2020-04-20,BBG000BCSST7,HOLD
2,2,2020-04-24,BBG000BJ81C1,SELL
1,1,2020-05-14,BBG00BN96922,HOLD
3,3,2020-06-08,BBG000BCSST7,BUY
4,4,2020-06-24,BBG000BCSST7,HOLD
3,3,2020-06-30,BBG000BJ81C1,HOLD
2,2,2020-07-09,BBG000HS77T5,HOLD
2,2,2020-07-23,BBG000C0G1D1,HOLD
1,1,2020-08-10,BBG000BCQZS4,HOLD
3,3,2020-09-08,BBG000HS77T5,BUY
5,5,2020-09-28,BBG000BCSST7,BUY
1,1,2020-10-12,BBG000GZQ728,HOLD
2,2,2020-10-26,BBG000BCQZS4,BUY
3,3,2020-10-27,BBG000BP52R2,HOLD
1,1,2020-10-28,BBG000BLNNH6,BUY
4,4,2020-11-10,BBG000BP52R2,SELL
2,2,2020-11-10,BBG000BLNNH6,HOLD
1,1,2020-12-16,BBG000BR2B91,HOLD
2,2,2020-12-22,BBG000BR2B91,BUY
5,5,2021-02-03,BBG000BP52R2,HOLD
4,4,2021-02-25,BBG000HS77T5,HOLD
5,5,2021-03-24,BBG000HS77T5,BUY
2,2,2021-04-12,BBG000GZQ728,BUY
2,2,2021-04-27,BBG00BN96922,BUY
3,3,2021-05-11,BBG00BN96922,HOLD
1,1,2021-06-14,BBG000BWLMJ4,HOLD
6,6,2021-06-25,BBG000HS77T5,HOLD
6,6,2021-07-06,BBG000BP52R2,SELL
2,2,2021-07-13,BBG000BWLMJ4,SELL
3,3,2021-10-21,BBG000BLNNH6,BUY
3,3,2021-10-26,BBG000GZQ728,HOLD
4,4,2021-11-01,BBG000GZQ728,BUY
5,5,2021-11-02,BBG000GZQ728,HOLD
6,6,2021-11-04,BBG000GZQ728,BUY
3,3,2021-11-05,BBG000BWLMJ4,HOLD
4,4,2021-12-16,BBG000BWLMJ4,SELL
4,4,2022-01-03,BBG000BLNNH6,HOLD
1,1,2022-01-05,BBG000BBS2Y0,HOLD
7,7,2022-01-13,BBG000GZQ728,HOLD
4,4,2022-01-19,BBG00BN96922,BUY
8,8,2022-01-19,BBG000GZQ728,BUY
7,7,2022-01-25,BBG000HS77T5,BUY
8,8,2022-01-26,BBG000HS77T5,HOLD
9,9,2022-02-02,BBG000HS77T5,BUY
2,2,2022-02-08,BBG000BBS2Y0,BUY
3,3,2022-02-10,BBG000BBS2Y0,HOLD
4,4,2022-02-14,BBG000BBS2Y0,BUY
10,10,2022-03-04,BBG000HS77T5,HOLD
11,11,2022-03-18,BBG000HS77T5,BUY
5,5,2022-03-30,BBG000BBS2Y0,HOLD
12,12,2022-04-21,BBG000HS77T5,HOLD
5,5,2022-05-31,BBG00BN96922,HOLD
4,4,2022-06-22,BBG000BJ81C1,SELL
5,5,2022-07-25,BBG000BJ81C1,HOLD
5,5,2022-10-20,BBG000BLNNH6,BUY
5,5,2022-11-21,BBG000BWLMJ4,HOLD
6,6,2022-11-30,BBG000BLNNH6,HOLD
3,3,2023-01-27,BBG000C0G1D1,SELL
1,1,2023-03-13,BBG000BF0K17,HOLD
4,4,2023-04-03,BBG000C0G1D1,HOLD
6,6,2023-05-03,BBG000BBS2Y0,BUY
2,2,2023-05-03,BBG000BF0K17,BUY
7,7,2023-08-14,BBG000BBS2Y0,HOLD
8,8,2023-08-29,BBG000BBS2Y0,BUY
1,1,2023-10-25,BBG000BW8S60,HOLD
7,7,2023-12-04,BBG000BP52R2,HOLD
13,13,2023-12-05,BBG000HS77T5,BUY
8,8,2023-12-11,BBG000BP52R2,SELL
14,14,2023-12-11,BBG000HS77T5,HOLD
15,15,2024-01-02,BBG000HS77T5,BUY
9,9,2024-01-26,BBG000BP52R2,HOLD
1,1,2024-02-15,BBG000C3J3C9,HOLD
6,6,2024-02-20,BBG000BWLMJ4,SELL
