,analyst_estimated_eps,next_period
0,4.801367,4.153704
1,4.801367,4.153704
2,2.539785,1.817285
3,15.347222222222221,17.96
4,5.122061705882353,5.274146
5,2.03878,1.97058
6,8.891998,7.310037
7,5.1157346666666665,5.04187
8,5.029994,5.04187
9,4.859856,4.831542
10,5.792272727272727,4.83
12,2.417775,2.387794
13,11.505166428571428,11.522708
14,8.744422,8.738609
15,-0.813925,-4.242061
16,5.718748,5.865984
17,6.461312019607844,11.1825626667
18,5.718748,5.880367
19,1.2195882352941176,1.324
20,13.313801736842105,12.585586
21,13.313801736842105,12.585586
22,6.349906285714287,6.388685
23,5.992084903225806,6.111803
24,3.172505398148148,3.31852975
25,3.172505398148148,3.31852975
26,8.204730000000001,8.159833
27,3.659627666666667,2.691687
28,18.588950588235296,24.03842
29,8.204730000000001,8.159833
30,8.204730000000001,8.159833
31,2.1683472352941178,2.301702
32,2.4349259411764708,2.022764
33,7.750236095238094,8.347528
34,0.5574009999999999,0.816151
35,7.218447333333334,7.581822
36,6.358416999999999,6.015635
37,2.8896486923076923,2.843846
38,2.8896486923076923,2.843846
39,1.6539235925925926,1.772235
40,10.02,10.96
41,0.1593925230769231,0.164064025
42,0.17903800000000028,1.813053
43,4.1946130526315795,3.912362
44,4.1946130526315795,3.912362
45,23.334345222222225,27.603875
46,6.857849058823529,6.741051
47,11.657635307692308,11.401862
48,1.8669491176470587,1.956357
49,5.930972629629629,6.298915
50,4.8558797931034485,4.781384
51,9.00216688888889,8.990005
52,4.8558797931034485,4.781384
53,3.8625,4.05
54,7.625106000000001,8.679216
55,7.625106000000001,8.679216
56,7.625106000000001,8.679216
57,1.3492465384615384,1.917285
58,2.538046,2.408652
59,11.261760666666666,11.6898606667
60,5.559958352941177,5.7114
61,4.793521,4.827313
62,8.251807,8.581521
63,-7.087284,-6.42696
64,13.030845909090909,12.650108
65,4.263222666666667,3.946435
66,13.030845909090909,12.650108
67,1.5470714285714287,1.74
68,3.253502701612903,3.296892
69,3.253502701612903,3.296892
70,5.2663081428571425,5.543187
71,0.045445117647058775,-0.081824
72,6.0195191034482765,6.298915
73,1.968604,1.594688
75,17.35391304347826,17.53
76,6.8050796363636366,7.952255
77,1.1957532631578949,1.201785
78,6.635681777777778,6.970602
79,1.0002484444444444,1.069762
80,6.065212714285714,6.526097
81,2.798995,2.640472
82,2.798995,2.640472
83,11.255652173913042,11.62
84,0.18563184166666663,0.188298975
85,2.706567647058823,0.015663
86,1.776679285714286,1.8334543333
87,1.7758564285714287,2.071385
88,7.112442857142857,6.761391
89,7.452297739130436,9.185322
90,16.37909090909091,16.19
91,26.023597000000002,32.629151
92,3.889418,2.65218
93,3.889418,2.65218
94,8.681095,10.5819
95,5.556633,5.793591
96,4.830250222222222,4.902038
97,4.642522241379311,4.649729
98,4.642522241379311,4.649729
99,1.9066641764705883,1.963956
100,3.4143999999999997,3.77
101,6.401243074074074,6.796354
102,8.388830363636364,10.09054
103,12.064922333333332,11.8304256667
104,5.884613142857143,5.631894
105,6.401243074074074,6.796354
106,2.6718243333333334,2.380149
107,8.63484,9.003982
108,5.683787,6.801478
109,13.108578333333332,12.545634
110,-7.546534846153845,-21.524847
111,13.108578333333332,12.545634
112,3.437214403846154,3.73705925
113,1.4307940000000001,1.657743
114,3.437214403846154,3.72950525
115,1.6518989999999998,1.302452
116,8.309522,7.864051
117,-0.0396317894736844,-0.385318
118,1.9367142857142856,2.13
119,8.309522,7.864051
120,8.309522,7.864051
121,-0.5430338235294118,-0.658228
122,2.56607,2.298895
123,6.495630444444444,6.208263
124,2.713378,2.638426
125,2.713378,2.638426
126,1.8580828095238096,1.8335873333
127,0.21558137096774194,0.21343065
128,5.3377685,5.65206
129,11.897391304347828,12.071061
130,-0.5601383333333334,-0.070891
131,1.0846866216216213,0.390314
132,2.075134482758621,2.2441
133,2.585019,2.48885
134,2.585019,2.48885
135,16.991666666666667,17.71
136,5.77524405263158,5.922466
137,4.247160857142857,4.463708
138,4.247160857142857,4.460475
139,6.986492999999999,7.302536
140,1.4910990000000002,1.704249
141,4.908863,4.969161
142,6.986492999999999,7.302536
143,-21.003444666666667,-20.523912
144,4.006458178571429,4.48875975
145,6.451224193548388,6.55274
146,12.160736333333332,12.7201426667
147,4.056047035714286,4.48875975
148,-1.4739520000000002,-1.090163
149,5.349723285714285,5.559641
150,2.4938333333333333,2.68
151,2.3734337142857145,2.49433
152,13.537697315789472,13.085638
153,9.119918,9.625784
154,5.7055109999999996,5.573342
155,1.7345587692307693,1.792509
156,2.767921304347826,2.67165
157,2.767921304347826,2.67165
158,13.482823173913044,13.085638
159,1.9473967647058823,2.004753
160,-0.1056250476190477,0.1526
161,11.178531526315789,10.697197
162,4.893199999999999,6.1
163,7.414031473684211,0.0
164,7.414031473684211,0.0
165,7.414031473684211,0.0
166,6.9910768947368425,8.035196
167,1.859255,2.00205
168,2.0856953333333332,2.401922
169,36.63291266666667,48.069589
170,7.011475571428572,6.897314
171,9.661454923076922,9.922657
172,11.076314739130435,12.863579
173,-0.14612273684210522,0.128073
174,0.2558439464285714,0.255331625
175,1.3305127142857145,0.71042
176,3.267946153846154,3.726869
177,12.913234913043478,13.851061
178,2.9903522857142857,3.666259
179,2.9903522857142857,3.666259
180,49.59643390476191,56.692926
181,15.09578947368421,15.3
182,5.943115736842105,5.95928
183,12.930907999999999,14.298669
184,7.880457,7.684484
185,4.401807,4.48626
186,7.4056,8.62
187,4.558051777777778,5.41931
188,4.3768153793103455,4.459334
189,8.811581095238095,8.8297906667
190,7.556631285714286,7.908488
191,14.125524217391304,14.232786
192,2.3485716153846155,2.532088
193,2.1350363333333338,2.261972
194,5.697476666666668,6.025535
195,7.556631285714286,7.953417
196,5.066170652173913,5.155261
197,10.105079142857143,10.457222
198,9.87733823076923,9.540647
199,4.729756307692307,5.141305
200,14.010125666666667,14.232786
201,4.729756307692307,5.141305
202,-16.159526,-14.285308
203,5.771965333333333,5.661725
204,9.076876526315788,9.448766
205,2.8996666666666666,2.925
206,14.465131869565218,15.280814
207,2.517230857142857,2.521432
208,7.840537,8.158232
209,1.2527788823529413,1.487699
210,2.1106567647058823,2.421069
211,2.8018920000000005,2.806605
212,0.9472933636363634,1.091189
213,14.111061,14.351061
214,1.9859608148148147,2.0741113333
215,2.814649,2.70124
216,2.814649,2.70124
217,0.2942211310344828,0.2981108
218,1.533270941176471,0.743957
219,3.9300889999999997,3.816119
220,3.9300889999999997,3.816119
221,15.013275,15.980414
222,9.875241461538462,9.415821
223,3.8759994347826083,3.936869
224,13.662468315789475,13.796084
225,5.243135666666666,5.320037
226,8.203666,8.092451
227,7.285989444444445,7.693347
228,4.554864,4.784484
232,9.0048,9.58
233,4.591305151515152,4.784484
234,2.2867938095238096,2.359655
235,10.470674666666667,10.477227
236,8.13985762962963,8.337516
237,3.3484589999999996,3.635481
238,6.271152176470588,6.563412
239,9.001643047619048,8.1170936667
240,3.1811485714285714,3.471958
241,-13.517687555555556,-14.396956
242,5.6190425714285706,5.652614
243,5.6190425714285706,5.652614
244,8.326691032258063,8.617519
245,8.148870428571428,8.337516
246,4.4783810000000015,5.648207
247,5.862999285714286,5.90321
248,2.9906428571428574,2.605
